row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg,SN,Qingress,set,Dupliate,Target_Pixel,Source
0,278825952,0.01,EB,100.470619,-55.794991,11.512,1326.555018,2.3905790000000002,4.94276114,904050.0,1,4,4,1.2146700000000001,1.10214,6201.86,4.31228,670.96572,0.5028100000000001,train,no,no,fits
1,306736831,0.01,J,120.987058,-66.880424,11.347999999999999,1325.8143519999999,0.45417399999999997,2.475320968,10500.0,1,4,3,0.85440576,,3921.3333,,17.8609,-0.08136,val,no,no,fits
2,79328890,0.01,J,319.53088399999996,-51.78575,11.425999999999998,1325.883982,0.744124,1.972523899,127090.0,1,2,4,0.8660288,,5066.3677,,41.8925,0.41595,,,,
3,309257799,0.01,J,124.257448,-63.226048,11.142000000000001,1331.467468,8.636974,20.22710215,43260.0,1,4,3,2.604132,,5020.0,,10.3011,0.18909,train,no,no,fits
4,149248969,0.01,EB,82.525019,-65.66159499999999,10.770999999999999,1325.509738,0.251788,1.178005265,1060.0,1,4,1,1.1468053,1.1047200000000001,6096.0,4.33697,17.251279999999998,-0.06465,train,no,yes,fits
5,309254945,0.01,J,124.28098100000001,-65.647293,11.550999999999998,1331.496467,12.910471000000001,13.62416184,49940.0,1,4,3,6.150437999999999,,4737.0,,3.6343300000000003,0.17296,train,no,no,fits
6,234307140,0.01,J,34.944437,-70.630401,11.939,1325.676425,0.293281,2.027721372,286490.0,1,3,4,1.1662780000000001,0.881599,5170.0,4.4617,64.02203,0.44051,train,no,no,fits
7,290047893,0.01,J,319.100764,-24.216597,10.532,1326.114719,0.278417,1.679455891,42440.0,1,1,4,1.44004,1.15146,6067.9,4.18,40.59986,0.41616000000000003,train,no,no,fits
8,139148075,0.01,J,344.556319,-42.308167,11.795,1326.299856,13.535064000000002,3.9013468469999997,3430.0,1,2,3,0.7819772,1.12558,5965.0,4.29585,7.995239999999999,0.18603,train,no,no,fits
9,141944605,0.01,J,95.563074,-74.027612,11.994000000000002,1325.8986869999999,0.6295229999999999,7.398204657999999,24390.0,1,4,2,2.2397970000000003,1.16054,5834.0,4.28109,66.66682,-1.43052,train,no,no,fits
10,302924377,0.01,J,34.917997,-61.636028,9.352,1325.517763,0.254643,2.4080264369999997,374640.0,1,3,4,1.9114993999999998,1.40914,6432.233,4.10356,85.29201,-0.8642700000000001,train,no,no,fits
11,237316265,0.01,EB,344.212059,-63.974042000000004,10.011000000000001,1325.645951,0.37696799999999997,1.466465835,1670.0,1,2,1,,,4862.0,,40.479209999999995,0.48491999999999996,train,no,no,fits
12,261644661,0.01,J,350.94870099999997,-74.899666,10.664000000000001,1325.576272,0.16706700000000002,1.5901704369999998,197390.0,1,3,2,1.4754108,0.905791,5178.147,4.0677900000000005,78.60594,-1.0320200000000002,train,no,no,fits
13,394287253,0.01,J,31.501365000000003,-81.908777,10.958,1325.775649,0.7653449999999999,5.91587194,3140.0,1,3,3,1.5590209,1.1394,5852.6665,3.903,53.409380000000006,0.49621000000000004,val,no,no,fits
14,273734524,0.01,J,340.868294,-79.43209300000001,11.632,1325.774794,0.361089,2.1290096309999997,1910.0,1,3,2,2.0011072,1.01419,5440.0,4.36076,29.102320000000002,-0.03166,train,no,no,fits
15,231089993,0.01,EB,68.589152,-66.088512,11.581,1325.903075,0.473141,2.084621395,1740.0,1,4,1,0.7257794,,5037.0,,22.204620000000002,0.32547,train,no,no,fits
16,139935539,0.01,EB,327.536862,-53.78850799999999,11.825999999999999,1325.550393,2.525449,1.5164816159999999,8580.0,1,2,4,1.3055596,1.20155,5873.5024,4.23,14.69791,0.28754,test,no,no,fits
17,278709999,0.01,EB,335.194361,-40.061596,8.603,1326.045959,0.122689,0.6479157010000001,1800.0,1,1,2,3.5806440000000004,1.4733,7098.233,3.50585,31.27324,-0.16334,test,no,no,fits
18,231240938,0.01,J,330.645727,-48.279779,11.623,1325.668938,0.30398000000000003,1.722691138,317290.0,1,2,4,1.86535,0.6857,4385.0,3.7330400000000004,51.89947,0.43041999999999997,,,,
19,197959099,0.01,J,348.171583,-51.933618,10.876,1325.6530400000001,0.503496,2.707277852,20810.0,1,2,2,2.0291178,1.2615100000000001,7098.2734,4.24488,29.9158,-0.12293,train,no,no,fits
20,167570998,0.01,EB,101.21378299999999,-64.297935,10.349,1325.471168,0.505229,1.6305154469999998,4700.0,1,4,3,25.490852,,4191.07,,19.96659,0.09246,train,no,no,fits
21,273985435,0.01,J,30.635849,-82.033266,9.669,1325.58271,0.472918,3.5266819430000003,142300.0,1,3,3,1.8923916,1.53464,6564.293000000001,4.0274,86.73501999999999,0.6139,train,no,no,fits
22,234503282,0.01,EB,11.595497,-63.473076,10.912,1326.081925,1.438445,2.92579713,21990.0,1,3,1,1.5130875,1.3562,6695.6665,4.13,131.21981,0.41938000000000003,test,no,no,fits
23,309146882,0.01,EB,123.71888600000001,-62.881519,11.015999999999998,1327.674134,5.429176,4.99701359,6330.0,1,4,3,,,3815.0,,17.88616,0.38825,train,no,no,fits
24,300141210,0.01,EB,108.54701499999999,-66.112335,11.988,1325.66893,1.9290490000000002,5.533438476000001,68490.0,1,4,3,3.3310752,1.2218799999999999,5829.3335,4.25821,8.30647,0.23717,train,no,no,fits
25,232085479,0.01,J,30.804173,-68.426781,11.599,1325.612816,0.9732870000000001,5.419028427000001,64870.0,1,3,4,1.3980725,1.10734,6290.0,4.30427,19.41912,0.50871,train,no,no,fits
26,140044270,0.01,EB,329.324695,-53.028771,11.668,1326.096566,1.995553,1.9961915769999998,2380.0,1,2,4,,,5014.532999999999,,16.12177,0.21554,val,no,no,fits
27,267047103,0.01,J,5.254098,-75.791848,11.24,1325.46451,0.271877,1.357405735,1150900.0,1,3,2,0.9461195,,4440.605,,62.80644,0.47775,test,no,no,fits
28,139993154,0.01,J,328.293291,-48.068184,11.31,1325.5339060000001,0.254634,2.541654734,245310.0,1,2,4,1.7365006999999997,1.3487799999999999,7241.3335,4.21825,80.49406,-1.10524,train,no,no,fits
29,231705838,0.01,EB,336.566793,-59.042027000000004,10.530999999999999,1325.669629,0.7794300000000001,1.7574587640000001,2620.0,1,2,1,1.9959443,1.14564,6387.0,3.93,34.30134,0.42672,val,no,no,fits
30,201227899,0.01,J,358.696021,-50.927197,11.373,1325.58806,1.159804,10.28040987,40830.0,1,2,2,0.93263257,,4919.35,,31.537409999999998,-0.6443399999999999,train,no,no,fits
31,147271352,0.01,J,324.71930699999996,-43.019558,11.894,1326.167567,0.904109,8.233539841,43990.0,1,1,1,1.5140015,0.8210959999999999,4971.5,4.498419999999999,66.9768,0.40610999999999997,train,no,no,fits
32,197757967,0.01,EB,331.407184,-37.583352000000005,10.456,1326.480974,1.110471,1.8762518019999999,2780.0,1,1,2,4.060382,,5035.22,,31.37661,0.44708000000000003,train,no,no,fits
33,308600649,0.01,EB,121.41528799999999,-63.241241,11.039000000000001,1326.79351,1.6252389999999999,7.531617563999999,10530.0,1,4,3,2.1510339,1.45498,6191.75,,36.26794,0.71027,train,no,no,fits
34,197954622,0.01,J,347.267544,-47.997765,11.262,1325.577327,0.532558,2.2778996819999997,61190.0,1,2,3,1.2460341000000001,1.05124,6351.0,4.081,41.28897,-0.04118,train,no,no,fits
35,139915712,0.01,J,327.118685,-51.649565,11.407,1325.530913,0.14608,1.216834714,382630.0,1,2,4,1.060426,0.803091,5623.5,4.0824,81.54229000000001,-0.54055,train,no,no,fits
36,327671241,0.01,J,330.928493,-71.537863,11.26,1325.496392,0.246529,2.5067857609999997,4920.0,1,3,2,2.19915,2.13623,9129.25,4.08357,57.778380000000006,-0.75726,train,no,no,fits
37,206537129,0.01,J,332.916088,-23.316601000000002,11.18,1327.4127720000001,4.540298,11.5777599,2920.0,1,1,3,1.07521,0.996812,5854.4155,4.37405,9.17878,0.19139,test,no,no,fits
38,260160453,0.01,J,92.708146,-59.80058399999999,7.585,1331.2436480000001,8.681643,11.90982513,1050.0,1,4,4,1.7068918999999998,1.3525,6469.7,,7.59698,0.20575,val,no,yes,fits
39,197757889,0.01,EB,331.50080499999996,-37.280376000000004,11.752,1326.092804,0.601374,1.609998473,17660.0,1,1,2,6.2112145,,4751.96,,48.40126,0.4144,train,no,no,fits
